case,pwin,ploss
382us111,1.0,5.3611920662102027e-14
383us663,9.592530348736492e-13,0.9999999999990905
383us825,1.7334422433064135e-11,0.9999999999827196
384us597,0.1592805840925691,0.8407194159074508
382us406,0.0047064681095836764,0.9952935318904106
384us224,3.5938701650582603e-14,1.0
384us28,1.0,3.3246531134684292e-15
384us373,0.03226229612011588,0.9677377038798896
383us696,0.046364934407056205,0.9536350655929716
383us53,0.5132750450578681,0.48672495494213314
384us436,0.004975189079907963,0.9950248109200802
382us162,6.2380067148676915e-12,0.9999999999937472
383us413,0.2226409712892444,0.7773590287107601
384us757,1.0,2.7575773082533628e-15
382us197,1.0,2.5206367490934778e-14
383us463,0.38904495263556066,0.6109550473644323
383us272,5.227162316119471e-12,0.9999999999947704
383us541,9.566289380764118e-12,0.9999999999904503
382us296,1.0465784747344509e-12,0.9999999999989768
383us131,1.6110062803700799e-12,0.9999999999984084
384us563,2.405607159349425e-13,0.9999999999997726
382us341,0.03463328280691009,0.965366717193083
384us11,3.482800250278972e-13,0.9999999999996589
385us374,0.022554446134578847,0.9774455538654487
384us118,0.9999999999998863,1.2188634301053295e-13
384us678,1.0055572392530191e-11,0.9999999999899956
387us456,0.19875212967711264,0.8012478703228889
387us523,3.4817227877250604e-13,0.9999999999996589
387us369,1.0,1.6134760921847625e-16
385us589,6.539092873138988e-13,0.9999999999993179
386us237,1.0203812395658503e-10,0.9999999998979092
387us136,3.621023713335124e-15,1.0
387us397,5.48319451193984e-10,0.9999999994516884
385us293,0.9999999995200142,4.80012188389911e-10
388us130,1.0,3.614567166834965e-14
386us685,8.189990846780305e-12,0.9999999999918145
388us175,4.4860950954124484e-13,0.9999999999995453
387us428,9.734906592026847e-12,0.9999999999902229
386us287,4.768169243070841e-14,1.0
385us196,0.015812550909206732,0.9841874490907909
385us214,1.0,5.3608790648514954e-18
385us511,5.346215236132362e-13,0.9999999999994316
388us218,1.0,3.522715509288079e-14
388us263,1.6674352963161567e-14,1.0
387us118,0.9999999999986358,1.375317989402369e-12
386us724,2.461118904416898e-14,1.0
385us554,1.0,1.7788659950523602e-17
387us541,0.0392916631254601,0.9607083368745408
386us738,7.336964370950375e-14,0.9999999999998863
388us307,1.0,2.5352565689231835e-15
386us664,1.0,2.2016177783447e-15
386us612,0.09346938787503514,0.906530612124992
385us231,5.086662295478187e-10,0.9999999994913651
386us317,0.9999999999996589,3.766791591686447e-13
385us493,9.463667968822328e-14,0.9999999999998863
385us39,1.0,2.521434795884035e-15
388us395,0.9999999999998863,1.145094649334137e-13
386us66,1.119087540037756e-13,1.0
388us293,1.0,2.0356683458704995e-14
387us213,5.819933852049293e-11,0.9999999999417923
387us253,1.9782780813216812e-11,0.9999999999802185
385us630,0.03745013033757629,0.9625498696624183
386us372,0.15140237680874807,0.8485976231912368
386us753,2.1548956883562454e-14,1.0
386us58,1.0,6.472290523196036e-15
385us76,0.9999999996999804,3.000097263998394e-10
386us300,1.0,5.1292025041512726e-15
388us41,0.01046593734968764,0.9895340626503298
387us556,2.486941406443558e-12,0.9999999999974989
386us129,1.439151566967446e-13,0.9999999999998863
391us404,0.9999999999993179,6.860811263503415e-13
391us308,0.011551451367086333,0.9884485486329154
392us236,0.9999999999986358,1.4033976897835118e-12
391us471,5.602838071747436e-12,0.9999999999944293
389us308,0.020227391167193444,0.9797726088327967
390us474,5.697895719470151e-07,0.9999994302103719
394us618,0.9999995252764354,4.747235701911408e-07
392us364,1.0,3.460900048637592e-14
391us253,1.0,1.6351867110669486e-15
390us404,1.0,1.276511198805798e-16
389us155,6.248853763036584e-10,0.9999999993750635
389us299,6.501138732074536e-14,0.9999999999998863
392us616,1.0,4.6504345555474084e-18
390us511,1.0,2.628152564541939e-17
394us165,2.683723715892841e-16,1.0
390us341,1.9469240904694836e-10,0.9999999998052544
389us109,8.092099230643928e-13,0.9999999999992042
390us530,4.774027908249655e-14,1.0
391us224,1.0,2.6021837625623363e-15
390us629,1.0,1.3473197302870789e-18
390us171,0.04197673540222204,0.9580232645977595
389us560,0.9999999999998863,1.1201741669198986e-13
390us456,0.13209510971147748,0.8679048902885216
392us339,6.765026157741924e-10,0.9999999993234496
390us736,1.0,6.869913316492067e-16
392us183,1.0,3.399328264061176e-17
391us123,6.513065763218006e-11,0.9999999999348574
391us68,4.6290906816074705e-14,1.0
392us378,0.00959516472084594,0.9904048352791366
389us54,0.07984306976934577,0.9201569302306568
391us73,4.82879687075239e-13,0.9999999999995453
390us414,1.565058815982074e-11,0.9999999999843112
391us461,0.9999999999997726,2.2261520359211147e-13
392us390,4.092531958898534e-10,0.9999999995907274
389us258,1.0,4.9671295895342076e-15
390us455,0.9999999999996589,3.0097287943615405e-13
392us514,1.0,5.877069403854947e-17
390us570,0.08951737398098346,0.9104826260190235
391us1,1.0163677082855525e-13,0.9999999999998863
391us510,0.012193134223399987,0.9878068657765898
390us1,0.009870581841178736,0.9901294181588105
392us219,0.016036729986533875,0.9839632700134396
390us563,7.816302470206554e-15,1.0
391us99,5.817849440767343e-10,0.9999999994182645
393us233,4.136478569986776e-12,0.9999999999959073
395us642,4.075219329095218e-11,0.9999999999592433
395us784,1.2174238162055523e-11,0.9999999999878355
394us542,7.428046585647897e-14,0.9999999999998863
395us147,0.0894104824119856,0.9105895175880003
394us369,3.440340074587412e-13,0.9999999999996589
395us711,0.9999999999993179,7.219873171042665e-13
394us358,0.004985269597220567,0.9950147304027707
394us576,5.017414795728529e-12,0.9999999999949978
395us62,3.2260263020264813e-07,0.9999996773973644
395us316,0.12575054908357078,0.874249450916447
395us653,1.4803325691240067e-07,0.999999851966788
393us410,0.005026560195906236,0.9949734398041099
393us186,0.028064969915093017,0.9719350300849094
393us333,9.536845890078635e-13,0.9999999999990905
394us244,0.0350584593511702,0.964941540648836
395us411,2.6055414841496895e-15,1.0
394us495,0.0197295004170249,0.9802704995829887
393us473,0.004751080236904068,0.9952489197631089
393us145,2.1875937033904372e-11,0.9999999999781721
395us752,1.4971012912595022e-12,0.9999999999985221
395us238,1.6930293845541358e-13,0.9999999999998863
394us526,0.05706562925106008,0.9429343707489576
393us199,4.332572221937465e-12,0.9999999999956799
395us258,1.0966068844520044e-11,0.9999999999890861
395us85,0.9999999999955662,4.4200424554874875e-12
396us212,3.071903766651562e-11,0.9999999999693046
394us721,0.003195145748435653,0.9968048542515785
395us250,1.0,2.568617711923503e-14
393us297,3.566963634441375e-11,0.9999999999643023
394us286,0.016964091136091673,0.9830359088638968
394us324,0.0060911750250389725,0.9939088249749841
393us23,0.0040814910559591605,0.9959185089440599
394us440,5.998372472189877e-11,0.9999999999399733
395us621,1.0928982963337757e-12,0.9999999999988631
394us678,1.7436413953369052e-10,0.9999999998256044
394us309,1.0,2.2093166076504603e-16
395us164,0.006548754121557055,0.99345124587842
395us464,6.338560737913651e-13,0.9999999999993747
395us213,1.0,3.364297071394436e-16
397us397,2.8515036696822847e-15,1.0
396us64,1.0,1.659665603449837e-16
398us1,7.233249006461726e-12,0.999999999992724
397us150,2.7136830149507823e-10,0.9999999997286295
398us235,0.029652832664871415,0.9703471673351399
396us229,5.302421526765332e-13,0.9999999999994316
396us45,1.0,3.00630673857017e-15
398us71,1.0,5.44169456809499e-16
397us759,2.173397200315786e-11,0.9999999999782858
